# THALASSA - STATISTICS                                                                                                                                                                                                             
#===================================================================================================================================================================================================================================
#    CALLS      STEPS                    TOL               CPUT [s]                    MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]
    131226      62886  1.000000000000000E-13  2.120000000000000E+00  5.511525000000000E+04  4.319767621409178E+04  3.975830024664018E-02  1.336733423960325E+01  3.578489997221958E+02  1.204017368729185E+01  7.400633225139620E+01
    262903     125968  1.000000000000000E-13  3.977000000000000E+00  5.548050000000000E+04  4.319196057863561E+04  4.008353284835801E-02  1.345612944847237E+01  3.554988357620677E+02  2.436410314505758E+01  1.481959550443184E+02
    264315     126653  1.000000000000000E-13  3.960000000000000E+00  5.593050000000000E+04  4.320256801365042E+04  3.562449990548099E-02  1.348142984098086E+01  3.550371987300483E+02  1.789509720399552E+01  1.146136033878652E+02
    526311     252227  1.000000000000000E-13  7.877000000000000E+00  5.666100000000000E+04  4.319613576191555E+04  3.082554440467480E-02  1.347549588616871E+01  3.492824897724446E+02  3.805286946347933E+01  2.292832455545816E+02
    125766      60856  1.000000000000000E-13  1.916000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.904000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.885000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.886000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.881000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.873000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.876000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.902000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.871000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.887000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.878000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.877000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.915000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.876000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.903000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.882000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.908000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
    125766      60856  1.000000000000000E-13  1.886000000000000E+00  5.906900072133668E+04  6.508122800420135E+03  1.572746270412157E-03  1.653502122480329E-03  3.513030099771777E+02  1.102942982111756E+02  3.473486676397831E+02
